metric_name,selected_campaign_users,min_value,avg_value,max_value,p50,p75,p90,p95,p99
campaign_discount_rows,86170,1.0,2.24,32.0,1.0,2.0,4.0,6.0,19.0
credited_campaign_discount_success_only,86170,5000.0,81280.67,1295000.0,50000.0,70000.0,185000.0,250000.0,900000.0
immediate_discount_0_1_day,86170,0.0,39280.2,1055000.0,0.0,35000.0,110000.0,200000.0,600000.0
max_users_per_device,86170,0.0,0.86,12.0,1.0,1.0,1.0,1.0,2.0
max_users_per_ip,86170,0.0,8.21,296.0,2.0,7.0,16.0,23.0,165.0
total_invitees,86170,0.0,1.57,163.0,0.0,2.0,4.0,6.0,20.0
transfer_loop_count,86170,0.0,0.35,158.0,0.0,0.0,1.0,1.0,4.0
